Metric Name,Metric Count,Week-Over-Week Change,Percentile
Sessions (Site Traffic),1373,-2.00%,100th
Avg. Pages Viewed,11.99,19.00%,100th
Avg. Time on Site,277.3s,24.00%,99th
Bounce Rate,2.60%,52.00%,13th
Direct Traffic,286,24.00%,100th
Organic Search,1061,-6.00%,100th
Social Traffic,21,-5.00%,97th
Referral Traffic,5,-64.00%,99th
Users,939,0.00%,100th
Two or More Sessions,584,-2.00%,100th
Internal Page Entries,1287,-3.00%,100th
Sessions > 1 Min.,590,-5.00%,100th
Search Traffic,0,0.00%,0th
Display Traffic,0,0.00%,100th
Engaged Prospects,,,
Picture Views,,,
OverallPctile,86%,,
